t,x,y,yaw,v
2.4200,12.2728,10.0976,0.751181,0.0000
2.4400,12.2738,10.0986,0.751181,0.0000
2.4600,12.2748,10.0995,0.751181,0.0000
2.4800,12.2758,10.1005,0.751181,0.0000
2.5000,12.2768,10.1015,0.751181,0.0000
2.5200,12.2779,10.1024,0.751181,0.0000
2.5400,12.2789,10.1034,0.751181,0.0000
2.5600,12.2799,10.1043,0.751181,0.0000
2.5800,12.2809,10.1053,0.751181,0.0000
2.6000,12.2820,10.1062,0.751181,0.0000
2.6200,12.2830,10.1072,0.751181,0.0000
2.6400,12.2840,10.1081,0.751181,0.0000
2.6600,12.2850,10.1091,0.751181,0.0000
2.6800,12.2861,10.1101,0.751181,0.0000
2.7000,12.2871,10.1110,0.751181,0.0000
2.7200,12.2881,10.1120,0.751181,0.0000
2.7400,12.2891,10.1129,0.751181,0.0000
2.7600,12.2901,10.1139,0.751181,0.0000
2.7800,12.2912,10.1148,0.751181,0.0000
2.8000,12.2922,10.1158,0.751181,0.0000
2.8200,12.2932,10.1167,0.751181,0.0000
2.8400,12.2942,10.1177,0.751181,0.0000
2.8600,12.2953,10.1187,0.751181,0.0000
2.8800,12.2963,10.1196,0.751181,0.0000
2.9000,12.2973,10.1206,0.751181,0.0000
2.9200,12.2983,10.1215,0.751181,0.0000
2.9400,12.2994,10.1225,0.751181,0.0000
2.9600,12.3004,10.1234,0.751181,0.0000
2.9800,12.3014,10.1244,0.751181,0.0000
3.0000,12.3024,10.1253,0.751181,0.0000
3.0200,12.3035,10.1263,0.751181,0.0000
3.0400,12.3045,10.1273,0.751181,0.0000
3.0600,12.3055,10.1282,0.751181,0.0000
3.0800,12.3065,10.1292,0.751181,0.0000
3.1000,12.3075,10.1301,0.751181,0.0000
3.1200,12.3086,10.1311,0.751181,0.0000
3.1400,12.3096,10.1320,0.751181,0.0000
3.1600,12.3106,10.1330,0.751181,0.0000
3.1800,12.3116,10.1339,0.751181,0.0000
3.2000,12.3127,10.1349,0.751181,0.0000
3.2200,12.3137,10.1359,0.751181,0.0000
3.2400,12.3147,10.1368,0.751181,0.0000
3.2600,12.3157,10.1378,0.751181,0.0000
3.2800,12.3168,10.1387,0.751181,0.0000
3.3000,12.3178,10.1397,0.751181,0.0000
3.3200,12.3188,10.1406,0.751181,0.0000
3.3400,12.3198,10.1416,0.751181,0.0000
3.3600,12.3208,10.1425,0.751181,0.0000
3.3800,12.3219,10.1435,0.751181,0.0000
3.4000,12.3229,10.1445,0.751181,0.0000
3.4200,12.3239,10.1454,0.751181,0.0000
3.4400,12.3249,10.1464,0.751181,0.0000
3.4600,12.3260,10.1473,0.751181,0.0000
3.4800,12.3270,10.1483,0.751181,0.0000
3.5000,12.3280,10.1492,0.751181,0.0000
3.5200,12.3290,10.1502,0.751181,0.0000
3.5400,12.3301,10.1511,0.751181,0.0000
3.5600,12.3311,10.1521,0.751181,0.0000
3.5800,12.3321,10.1531,0.751181,0.0000
3.6000,12.3331,10.1540,0.751181,0.0000
3.6200,12.3341,10.1550,0.751181,0.0000
3.6400,12.3352,10.1559,0.751181,0.0000
3.6600,12.3362,10.1569,0.751181,0.0000
3.6800,12.3372,10.1578,0.751181,0.0000
3.7000,12.3382,10.1588,0.751181,0.0000
3.7200,12.3393,10.1597,0.751181,0.0000
3.7400,12.3403,10.1607,0.751181,0.0000
3.7600,12.3413,10.1617,0.751181,0.0000
3.7800,12.3423,10.1626,0.751181,0.0000
3.8000,12.3434,10.1636,0.751181,0.0000
3.8200,12.3444,10.1645,0.751181,0.0000
3.8400,12.3454,10.1655,0.751181,0.0000
3.8600,12.3464,10.1664,0.751181,0.0000
3.8800,12.3475,10.1674,0.751181,0.0000
3.9000,12.3485,10.1683,0.751181,0.0000
3.9200,12.3495,10.1693,0.751181,0.0000
3.9400,12.3505,10.1703,0.751181,0.0000
3.9600,12.3515,10.1712,0.751181,0.0000
3.9800,12.3526,10.1722,0.751181,0.0000
4.0000,12.3536,10.1731,0.751181,0.0000
4.0200,12.3546,10.1741,0.751181,0.0000
4.0400,12.3556,10.1750,0.751181,0.0000
4.0600,12.3567,10.1760,0.751181,0.0000
4.0800,12.3577,10.1769,0.751181,0.0000
4.1000,12.3587,10.1779,0.751181,0.0000
4.1200,12.3597,10.1788,0.751181,0.0000
4.1400,12.3608,10.1798,0.751181,0.0000
4.1600,12.3618,10.1808,0.751181,0.0000
4.1800,12.3628,10.1817,0.751181,0.0000
4.2000,12.3638,10.1827,0.751181,0.0000
4.2200,12.3648,10.1836,0.751181,0.0000
4.2400,12.3659,10.1846,0.751181,0.0000
4.2600,12.3669,10.1855,0.751181,0.0000
4.2800,12.3679,10.1865,0.751181,0.0000
4.3000,12.3689,10.1874,0.751181,0.0000
4.3200,12.3700,10.1884,0.751181,0.0000
4.3400,12.3710,10.1894,0.751181,0.0000
4.3600,12.3720,10.1903,0.751181,0.0000
4.3800,12.3730,10.1913,0.751181,0.0000
4.4000,12.3741,10.1922,0.751181,0.0000
4.4200,12.3751,10.1932,0.751181,0.0000
4.4400,12.3761,10.1941,0.751181,0.0000
4.4600,12.3771,10.1951,0.751181,0.0000
4.4800,12.3781,10.1960,0.751181,0.0000
4.5000,12.3792,10.1970,0.751181,0.0000
4.5200,12.3802,10.1980,0.751181,0.0000
4.5400,12.3812,10.1989,0.751181,0.0000
4.5600,12.3822,10.1999,0.751181,0.0000
4.5800,12.3833,10.2008,0.751181,0.0000
4.6000,12.3843,10.2018,0.751181,0.0000
4.6200,12.3853,10.2027,0.751181,0.0000
4.6400,12.3863,10.2037,0.751181,0.0000
4.6600,12.3874,10.2046,0.751181,0.0000
4.6800,12.3884,10.2056,0.751181,0.0000
4.7000,12.3894,10.2066,0.751181,0.0000
4.7200,12.3904,10.2075,0.751181,0.0000
4.7400,12.3914,10.2085,0.751181,0.0000
4.7600,12.3925,10.2094,0.751181,0.0000
4.7800,12.3935,10.2104,0.751181,0.0000
4.8000,12.3945,10.2113,0.751181,0.0000
4.8200,12.3955,10.2123,0.751181,0.0000
4.8400,12.3966,10.2132,0.751181,0.0000
4.8600,12.3976,10.2142,0.751181,0.0000
4.8800,12.3986,10.2152,0.751181,0.0000
4.9000,12.3996,10.2161,0.751181,0.0000
4.9200,12.4007,10.2171,0.751181,0.0000
4.9400,12.4017,10.2180,0.751181,0.0000
4.9600,12.4027,10.2190,0.751181,0.0000
4.9800,12.4037,10.2199,0.751181,0.0000
5.0000,12.4048,10.2209,0.751181,0.0000
5.0200,12.4058,10.2218,0.751181,0.0000
5.0400,12.4068,10.2228,0.751181,0.0000
5.0600,12.4078,10.2238,0.751181,0.0000
5.0800,12.4088,10.2247,0.751181,0.0000
5.1000,12.4099,10.2257,0.751181,0.0000
5.1200,12.4109,10.2266,0.751181,0.0000
5.1400,12.4119,10.2276,0.751181,0.0000
5.1600,12.4129,10.2285,0.751181,0.0000
5.1800,12.4140,10.2295,0.751181,0.0000
5.2000,12.4150,10.2304,0.751181,0.0000
5.2200,12.4160,10.2314,0.751181,0.0000
5.2400,12.4170,10.2324,0.751181,0.0000
5.2600,12.4181,10.2333,0.751181,0.0000
5.2800,12.4191,10.2343,0.751181,0.0000
5.3000,12.4201,10.2352,0.751181,0.0000
5.3200,12.4211,10.2362,0.751181,0.0000
5.3400,12.4221,10.2371,0.751181,0.0000
5.3600,12.4232,10.2381,0.751181,0.0000
5.3800,12.4242,10.2390,0.751181,0.0000
5.4000,12.4252,10.2400,0.751181,0.0000
5.4200,12.4262,10.2410,0.751181,0.0000
5.4400,12.4273,10.2419,0.751181,0.0000
5.4600,12.4283,10.2429,0.751181,0.0000
5.4800,12.4293,10.2438,0.751181,0.0000
5.5000,12.4303,10.2448,0.751181,0.0000
5.5200,12.4314,10.2457,0.751181,0.0000
5.5400,12.4324,10.2467,0.751181,0.0000
5.5600,12.4334,10.2476,0.751181,0.0000
5.5800,12.4344,10.2486,0.751181,0.0000
5.6000,12.4354,10.2496,0.751181,0.0000
5.6200,12.4365,10.2505,0.751181,0.0000
5.6400,12.4375,10.2515,0.751181,0.0000
5.6600,12.4385,10.2524,0.751181,0.0000
5.6800,12.4395,10.2534,0.751181,0.0000
5.7000,12.4406,10.2543,0.751181,0.0000
5.7200,12.4416,10.2553,0.751181,0.0000
5.7400,12.4426,10.2562,0.751181,0.0000
5.7600,12.4436,10.2572,0.751181,0.0000
5.7800,12.4447,10.2582,0.751181,0.0000
5.8000,12.4457,10.2591,0.751181,0.0000
5.8200,12.4467,10.2601,0.751181,0.0000
5.8400,12.4477,10.2610,0.751181,0.0000
5.8600,12.4488,10.2620,0.751181,0.0000
5.8800,12.4498,10.2629,0.751181,0.0000
5.9000,12.4508,10.2639,0.751181,0.0000
5.9200,12.4518,10.2648,0.751181,0.0000
5.9400,12.4528,10.2658,0.751181,0.0000
5.9600,12.4539,10.2668,0.751181,0.0000
5.9800,12.4549,10.2677,0.751181,0.0000
